Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,88,5,Some Random Commen with Id 0
1,0,5,134,8,Some Random Commen with Id 1
2,0,5,45,7,Some Random Commen with Id 2
3,0,5,153,0,Some Random Commen with Id 3
4,0,5,0,4,Some Random Commen with Id 4
5,1,1,184,6,Some Random Commen with Id 5
6,1,1,103,1,Some Random Commen with Id 6
7,1,1,70,9,Some Random Commen with Id 7
8,1,1,91,4,Some Random Commen with Id 8
9,1,1,113,0,Some Random Commen with Id 9
10,1,1,159,7,Some Random Commen with Id 10
11,2,4,178,0,Some Random Commen with Id 11
12,2,4,18,2,Some Random Commen with Id 12
13,2,4,8,8,Some Random Commen with Id 13
14,3,9,127,5,Some Random Commen with Id 14
15,4,1,196,9,Some Random Commen with Id 15
16,4,1,13,8,Some Random Commen with Id 16
17,4,1,164,3,Some Random Commen with Id 17
18,4,1,1,0,Some Random Commen with Id 18
19,4,1,23,9,Some Random Commen with Id 19
20,4,1,75,3,Some Random Commen with Id 20
21,4,1,30,8,Some Random Commen with Id 21
22,4,1,115,5,Some Random Commen with Id 22
23,5,9,154,1,Some Random Commen with Id 23
24,5,9,84,5,Some Random Commen with Id 24
25,5,9,182,0,Some Random Commen with Id 25
26,5,9,7,0,Some Random Commen with Id 26
27,5,9,107,3,Some Random Commen with Id 27
28,6,1,91,9,Some Random Commen with Id 28
29,6,1,22,1,Some Random Commen with Id 29
30,6,1,133,5,Some Random Commen with Id 30
31,6,1,78,6,Some Random Commen with Id 31
32,6,1,1,0,Some Random Commen with Id 32
33,7,0,187,8,Some Random Commen with Id 33
34,7,0,130,0,Some Random Commen with Id 34
35,8,2,84,3,Some Random Commen with Id 35
36,8,2,103,6,Some Random Commen with Id 36
37,8,2,119,6,Some Random Commen with Id 37
38,8,2,130,6,Some Random Commen with Id 38
39,8,2,144,9,Some Random Commen with Id 39
40,9,3,127,2,Some Random Commen with Id 40
41,9,3,27,4,Some Random Commen with Id 41
42,9,3,75,6,Some Random Commen with Id 42
43,9,3,34,1,Some Random Commen with Id 43
44,9,3,3,1,Some Random Commen with Id 44
45,9,3,179,8,Some Random Commen with Id 45
46,9,3,42,1,Some Random Commen with Id 46
47,9,3,131,1,Some Random Commen with Id 47
48,9,3,98,2,Some Random Commen with Id 48
49,11,8,142,3,Some Random Commen with Id 49
50,11,8,192,9,Some Random Commen with Id 50
51,11,8,12,9,Some Random Commen with Id 51
52,12,9,188,2,Some Random Commen with Id 52
53,12,9,159,0,Some Random Commen with Id 53
54,12,9,104,5,Some Random Commen with Id 54
55,12,9,8,7,Some Random Commen with Id 55
56,13,2,152,8,Some Random Commen with Id 56
57,13,2,69,5,Some Random Commen with Id 57
58,13,2,173,2,Some Random Commen with Id 58
59,13,2,30,9,Some Random Commen with Id 59
60,13,2,90,7,Some Random Commen with Id 60
61,13,2,193,8,Some Random Commen with Id 61
62,13,2,126,6,Some Random Commen with Id 62
63,13,2,40,2,Some Random Commen with Id 63
64,13,2,58,4,Some Random Commen with Id 64
65,14,2,144,2,Some Random Commen with Id 65
66,14,2,162,7,Some Random Commen with Id 66
67,14,2,145,8,Some Random Commen with Id 67
68,15,5,167,1,Some Random Commen with Id 68
69,15,5,56,6,Some Random Commen with Id 69
70,15,5,81,1,Some Random Commen with Id 70
71,16,7,165,6,Some Random Commen with Id 71
72,17,2,95,5,Some Random Commen with Id 72
73,17,2,163,2,Some Random Commen with Id 73
74,17,2,16,8,Some Random Commen with Id 74
75,17,2,75,8,Some Random Commen with Id 75
76,17,2,34,9,Some Random Commen with Id 76
77,17,2,29,2,Some Random Commen with Id 77
78,17,2,167,0,Some Random Commen with Id 78
79,18,4,178,8,Some Random Commen with Id 79
80,18,4,28,0,Some Random Commen with Id 80
81,18,4,45,8,Some Random Commen with Id 81
82,18,4,121,3,Some Random Commen with Id 82
83,18,4,177,8,Some Random Commen with Id 83
84,18,4,148,2,Some Random Commen with Id 84
85,18,4,60,8,Some Random Commen with Id 85
86,19,6,101,3,Some Random Commen with Id 86
87,19,6,84,3,Some Random Commen with Id 87
88,19,6,187,9,Some Random Commen with Id 88
89,19,6,98,2,Some Random Commen with Id 89
90,19,6,123,6,Some Random Commen with Id 90
91,20,5,72,7,Some Random Commen with Id 91
92,20,5,62,9,Some Random Commen with Id 92
93,20,5,45,0,Some Random Commen with Id 93
94,20,5,195,8,Some Random Commen with Id 94
95,21,0,23,0,Some Random Commen with Id 95
96,21,0,77,8,Some Random Commen with Id 96
97,21,0,66,5,Some Random Commen with Id 97
98,21,0,96,9,Some Random Commen with Id 98
99,21,0,155,9,Some Random Commen with Id 99
100,21,0,79,0,Some Random Commen with Id 100
101,21,0,177,5,Some Random Commen with Id 101
102,21,0,163,8,Some Random Commen with Id 102
103,22,5,106,2,Some Random Commen with Id 103
104,22,5,186,0,Some Random Commen with Id 104
105,23,6,52,9,Some Random Commen with Id 105
106,23,6,79,6,Some Random Commen with Id 106
107,23,6,143,6,Some Random Commen with Id 107
108,23,6,151,0,Some Random Commen with Id 108
109,23,6,8,0,Some Random Commen with Id 109
110,23,6,40,5,Some Random Commen with Id 110
111,23,6,30,2,Some Random Commen with Id 111
112,23,6,140,6,Some Random Commen with Id 112
113,23,6,59,2,Some Random Commen with Id 113
114,24,2,62,7,Some Random Commen with Id 114
115,24,2,61,6,Some Random Commen with Id 115
116,24,2,141,0,Some Random Commen with Id 116
117,24,2,195,9,Some Random Commen with Id 117
118,24,2,143,7,Some Random Commen with Id 118
119,24,2,65,9,Some Random Commen with Id 119
120,24,2,40,1,Some Random Commen with Id 120
121,24,2,60,4,Some Random Commen with Id 121
122,25,4,186,0,Some Random Commen with Id 122
123,25,4,8,4,Some Random Commen with Id 123
124,25,4,71,9,Some Random Commen with Id 124
125,25,4,78,3,Some Random Commen with Id 125
126,25,4,115,2,Some Random Commen with Id 126
127,25,4,3,9,Some Random Commen with Id 127
128,25,4,177,7,Some Random Commen with Id 128
129,25,4,71,0,Some Random Commen with Id 129
130,26,1,145,2,Some Random Commen with Id 130
131,27,9,42,8,Some Random Commen with Id 131
132,27,9,80,6,Some Random Commen with Id 132
133,27,9,12,0,Some Random Commen with Id 133
134,27,9,71,8,Some Random Commen with Id 134
135,27,9,42,8,Some Random Commen with Id 135
136,27,9,84,6,Some Random Commen with Id 136
137,27,9,17,0,Some Random Commen with Id 137
138,27,9,93,8,Some Random Commen with Id 138
139,27,9,76,5,Some Random Commen with Id 139
140,28,5,149,3,Some Random Commen with Id 140
141,28,5,1,8,Some Random Commen with Id 141
142,28,5,79,7,Some Random Commen with Id 142
143,28,5,106,0,Some Random Commen with Id 143
144,28,5,177,6,Some Random Commen with Id 144
145,28,5,152,0,Some Random Commen with Id 145
146,28,5,197,1,Some Random Commen with Id 146
147,28,5,169,6,Some Random Commen with Id 147
148,28,5,182,7,Some Random Commen with Id 148
149,30,9,34,4,Some Random Commen with Id 149
150,30,9,97,5,Some Random Commen with Id 150
151,30,9,7,6,Some Random Commen with Id 151
152,30,9,5,2,Some Random Commen with Id 152
153,30,9,135,2,Some Random Commen with Id 153
154,30,9,127,9,Some Random Commen with Id 154
155,30,9,157,3,Some Random Commen with Id 155
156,30,9,195,2,Some Random Commen with Id 156
157,30,9,71,2,Some Random Commen with Id 157
158,32,9,12,4,Some Random Commen with Id 158
159,32,9,160,6,Some Random Commen with Id 159
160,32,9,145,9,Some Random Commen with Id 160
161,33,6,147,5,Some Random Commen with Id 161
162,34,4,171,2,Some Random Commen with Id 162
163,34,4,72,8,Some Random Commen with Id 163
164,34,4,12,2,Some Random Commen with Id 164
165,36,5,170,2,Some Random Commen with Id 165
166,36,5,111,7,Some Random Commen with Id 166
167,36,5,172,6,Some Random Commen with Id 167
168,37,6,4,2,Some Random Commen with Id 168
169,37,6,125,3,Some Random Commen with Id 169
170,37,6,90,6,Some Random Commen with Id 170
171,37,6,2,7,Some Random Commen with Id 171
172,38,1,32,8,Some Random Commen with Id 172
173,38,1,197,3,Some Random Commen with Id 173
174,38,1,123,4,Some Random Commen with Id 174
175,38,1,157,8,Some Random Commen with Id 175
176,38,1,55,8,Some Random Commen with Id 176
177,38,1,122,6,Some Random Commen with Id 177
178,38,1,33,2,Some Random Commen with Id 178
179,38,1,131,5,Some Random Commen with Id 179
180,38,1,175,2,Some Random Commen with Id 180
181,39,5,35,4,Some Random Commen with Id 181
182,39,5,136,3,Some Random Commen with Id 182
183,39,5,34,7,Some Random Commen with Id 183
184,39,5,57,9,Some Random Commen with Id 184
185,39,5,68,7,Some Random Commen with Id 185
186,39,5,92,6,Some Random Commen with Id 186
187,39,5,156,5,Some Random Commen with Id 187
188,39,5,108,5,Some Random Commen with Id 188
189,39,5,110,7,Some Random Commen with Id 189
